gene_id	logFC	species	host	treat
Medtr4g114950	-7.16970017422199	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr2g069273	-7.152918522944139	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr3g014420	7.151612769533959	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr1g038560	7.1471202966565	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr4g094742	-7.1429576514558395	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr6g052300	7.14082250628441	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr2g019750	7.10724446645575	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr8g066150	-7.105406533757981	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr4g029690	7.103573080280009	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr7g034590	7.06435372588581	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr3g083630	7.05966553781551	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr2g450220	-7.04594577956644	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr3g010273	7.01825719022029	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr2g103870	-7.016370319847059	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr3g055450	6.977559822754119	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr7g012295	6.977559822754119	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr7g052620	6.9765810984061805	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr5g005670	6.97364368275031	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr8g020560	-6.967882501619049	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr4g011530	-6.93875030812513	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr6g007690	6.932623332913849	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr1g015530	-6.869644957059161	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr5g019460	6.83828981772309	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr5g012850	-6.8120290508056796	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr8g445540	6.78653885338883	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr3g094080	6.7833143195959495	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr4g115390	-6.75618565770581	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr5g056735	-6.74815227891996	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr2g078670	-6.70638573133826	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr5g085730	-6.69401987595994	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr2g015080	6.68062270409805	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr3g011890	6.67723052651496	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr0181s0030	6.621695988803361	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr8g021237	-6.57909262103078	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr7g044920	-6.547438866881549	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr2g102850	-6.51342376054687	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr7g096120	6.507408536332849	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr1g110510	6.50495487334985	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr2g073650	6.50495487334985	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr7g110810	6.50495487334985	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr4g051575	6.440892731635031	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr1g030220	6.3751769636707305	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr0011s0280	6.34416245499195	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr1g090820	-5.92295022521865	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr4g082290	-5.84312149419425	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr4g082230	-5.8080491888503305	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr1g056530	5.75336744554996	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr5g012290	-5.40743592460629	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr8g064630	-5.32237282930514	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr4g086020	-5.25124050769291	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr3g073180	-5.00692874033535	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr2g020990	4.99736681119941	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr1g106420	-4.9929914691378	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr1g079760	-4.98416655776262	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr3g112530	4.96257486458235	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr5g026320	4.9304114660180005	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr3g054170	4.75444509865846	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr3g005790	-4.72566228016933	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr8g466220	4.71557556021788	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr5g059820	-4.6551197983376	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr5g079220	4.64009768503998	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr4g132400	-4.58963505883796	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr6g027470	4.5253486545631905	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr2g436350	4.489893457665	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr1g083520	4.22401970811456	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr3g112120	4.2130286498313705	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr7g012040	4.18586774201448	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr7g104460	4.16302648109074	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr4g119500	4.1593219351743	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr4g088510	4.09304686723321	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr5g020940	4.0909593520650205	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr5g056815	4.0517368868292305	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr0045s0070	3.99066080709102	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr6g078140	3.98430529327679	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr6g078280	3.9390818321898697	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr3g054200	3.9386779151388596	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr6g082990	-3.9047545083704303	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr6g078120	3.77593544163817	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr1g030600	3.7650268066527004	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr1g105075	3.75678207839273	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr2g010600	3.6742296304976803	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr1g080800	3.6090917463072802	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr0163s0020	3.5925982974676605	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr4g104700	-3.5726127328820896	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
