gene_id	logFC	species	host	treat
Ghir_A09G024690	-8.51111872014742	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A08G002800	8.49925716764608	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A13G002510	8.499063841493031	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A03G022890	-8.494034752195999	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D04G001730	-8.440877406556599	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D10G024710	-8.39828225440375	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D06G006350	-8.39242678718549	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D01G020380	-8.38515592704101	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D05G018200	-8.33769822873921	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D10G024400	-8.30372234746878	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D03G015260	8.20998813191895	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A03G004150	-8.19681536581718	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D12G027040	-8.08321583909103	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D01G006020	-7.9858003375942195	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A11G014500	-7.984840121197981	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D13G008500	-7.96477948500337	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A10G006350	-7.95613840697997	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D01G008830	-7.911826296330791	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A09G026540	-7.906694249544199	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A11G002110	-7.86864288039279	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D05G020260	-7.8023968796647205	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A13G006170	-7.76074707409425	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A08G021920	7.7058096090550805	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A09G007920	-7.6877538919602895	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D09G005400	-7.61932818479009	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D05G018180	-7.61225186309811	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D06G019240	-7.58503127654628	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D12G014410	-7.43491497456128	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D04G001030	7.414272011864799	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D02G025220	-7.357729043023991	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A08G024960	-7.00802851296903	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D09G001520	6.983177474660269	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A05G012480	6.518240355797219	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A13G018840	6.394073003582059	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D07G021920	-6.37353637877939	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D11G016270	6.317516151362491	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D01G001640	6.234130900198361	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A08G002840	6.1311591448060705	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A12G002190	-6.0398046715405895	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D11G033300	6.010286907016799	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D02G002290	5.903310741205179	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D10G022090	-5.8832303664374805	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D10G023980	5.85609874248806	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A05G007350	-5.55909059294483	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
